,hotel,puntuacion,precio_total,direccion,cancelacion_gratuita,hora_checkout
0,Hotel Ercoli House,8.4,258.0,"Hotel Ercoli, Via Collina, Sallustiano, Municipio Roma I, Roma, Roma Capitale, Lazio, 00198, Italia",0,11:00
1,B&B Sol Romae,8.9,203.52,"75, Via della Madonna del Riposo, Municipio Roma XIII, Roma, Roma Capitale, Lazio, 00165, Italia",1,11:00
2,Internazionale Domus,9.3,608.0,"20, Piazza di Spagna, Campo Marzio, Municipio Roma I, Roma, Roma Capitale, Lazio, 00187, Italia",1,11:00
3,Hotel Eliseo,7.0,355.2,"Hotel Eliseo, 30, Via di Porta Pinciana, Ludovisi, Municipio Roma I, Roma, Roma Capitale, Lazio, 00187, Italia",0,11:00
4,Luxury Domus AmaDora,9.4,383.6,"Via Germano Sommeiller, Esquilino, Municipio Roma I, Roma, Roma Capitale, Lazio, 00182, Italia",1,10:00
5,Domus Ponte Milvio,9.2,184.0,"Banca Assicurazione, 413/a, Via Flaminia, Flaminio, Municipio Roma II, Roma, Roma Capitale, Lazio, 00196, Italia",1,10:00
6,Internouno,8.1,318.0,"Via Campaldino, Nomentano, Municipio Roma II, Roma, Roma Capitale, Lazio, 00162, Italia",1,10:00
7,Courtyard Rome Suite,7.5,268.5,"Ambasciata di Libia presso la Santa Sede, 31, Via Orazio, Prati, Municipio Roma I, Roma, Roma Capitale, Lazio, 00193, Italia",0,11:00
8,Magic Double,7.6,214.0,"Via dello Statuto, Esquilino, Municipio Roma I, Roma, Roma Capitale, Lazio, 00185, Italia",0,10:30
9,MC Guest House,8.4,239.0,"Via Pandosia, San Giovanni, Municipio Roma VII, Roma, Roma Capitale, Lazio, 00183, Italia",1,10:00
10,Raffaela's Suite & Rooms Vatican Guest House,8.4,291.1,"Via Costantino Morin, Municipio Roma I, Roma, Roma Capitale, Lazio, 00192, Italia",0,10:00
11,Hotel Valentino Palace,8.2,282.0,"Bar, 32, Via Filippo Turati, Esquilino, Municipio Roma I, Roma, Roma Capitale, Lazio, 00185, Italia",1,10:30
12,Hotel Impero,8.0,473.34,"19, Via del Viminale, Castro Pretorio, Municipio Roma I, Roma, Roma Capitale, Lazio, 00184, Italia",0,12:00
13,Il Giardino Dell'Argano Rosso,8.5,248.52,"AMA - Sede di Zona 1B, 25 - 9/a3, Via Angelo Bellani, Municipio Roma XII, Roma, Roma Capitale, Lazio, 00153, Italia",0,10:00
14,Augusta Lucilla Palace,8.4,541.68,"Hotel Augusta Lucilla Palace, 24, Via Massimo D'Azeglio, Castro Pretorio, Municipio Roma I, Roma, Roma Capitale, Lazio, 00184, Italia",0,12:00
15,Vatican Style,8.7,351.2,"Borgo Vittorio, Borgo, Municipio Roma I, Roma, Roma Capitale, Lazio, 00193, Italia",0,10:00
16,Hotel Aniene,7.3,249.6,"Hotel Aniene, 74, Viale Tirreno, Monte Sacro, Municipio Roma III, Roma, Roma Capitale, Lazio, 00141, Italia",0,11:00
17,Piazza Farnese Luxury Suites,9.0,435.23,"Regola, Municipio Roma I, Roma, Roma Capitale, Lazio, 00186, Italia",0,10:30
18,Relais Rione Ponte,9.0,860.0,"Porcetta di Arricia, Piazza di Tor Sanguigna, Parione, Municipio Roma I, Roma, Roma Capitale, Lazio, 00186, Italia",1,11:00
19,Suite art Pigneto,9.3,389.68,"Pigneto, Municipio Roma V, Roma, Roma Capitale, Lazio, 00176, Italia",0,10:00
