,precio,origen_ida,destino_ida,min_duracion_ida,escalas_ida,hora_salida_ida,hora_llegada_ida,aerolinea_ida,origen_vuelta,destino_vuelta,min_duracion_vuelta,escalas_vuelta,hora_salida_vuelta,hora_llegada_vuelta,aerolinea_vuelta
0,150.73,Madrid,Paris Charles de Gaulle,130,0,21:40,23:50,Iberia,Paris Charles de Gaulle,Madrid,130,0,07:00,09:10,Iberia
1,341.73,Madrid,Paris Charles de Gaulle,130,0,12:25,14:35,Air France,Paris Charles de Gaulle,Madrid,125,0,14:55,17:00,Air France
2,210.54,Madrid,Paris Charles de Gaulle,130,0,15:45,17:55,Iberia,Paris Charles de Gaulle,Madrid,130,0,07:00,09:10,Iberia
3,350.73,Madrid,Paris Charles de Gaulle,130,0,12:25,14:35,Air France,Paris Charles de Gaulle,Madrid,130,0,13:15,15:25,Air France
4,341.73,Madrid,Paris Charles de Gaulle,130,0,16:20,18:30,Air France,Paris Charles de Gaulle,Madrid,125,0,14:55,17:00,Air France
5,273.73,Madrid,Paris Charles de Gaulle,130,0,12:25,14:35,Air France,Paris Charles de Gaulle,Madrid,125,0,09:25,11:30,Air France
6,349.73,Madrid,Paris Charles de Gaulle,130,0,17:55,20:05,Air France,Paris Charles de Gaulle,Madrid,125,0,14:55,17:00,Air France
7,300.73,Madrid,Paris Charles de Gaulle,130,0,10:00,12:10,Air France,Paris Charles de Gaulle,Madrid,125,0,09:25,11:30,Air France
8,350.73,Madrid,Paris Charles de Gaulle,130,0,16:20,18:30,Air France,Paris Charles de Gaulle,Madrid,130,0,13:15,15:25,Air France
9,273.11,Madrid,Paris Charles de Gaulle,130,0,09:45,11:55,Iberia,Paris Charles de Gaulle,Madrid,130,0,07:00,09:10,Iberia
10,358.73,Madrid,Paris Charles de Gaulle,130,0,17:55,20:05,Air France,Paris Charles de Gaulle,Madrid,130,0,13:15,15:25,Air France
11,273.73,Madrid,Paris Charles de Gaulle,130,0,16:20,18:30,Air France,Paris Charles de Gaulle,Madrid,125,0,09:25,11:30,Air France
12,293.51,Madrid,Paris Charles de Gaulle,130,0,21:40,23:50,Iberia,Paris Charles de Gaulle,Madrid,135,0,17:35,19:50,easyJet
13,282.73,Madrid,Paris Charles de Gaulle,130,0,17:55,20:05,Air France,Paris Charles de Gaulle,Madrid,125,0,09:25,11:30,Air France
14,244.73,Madrid,Paris Charles de Gaulle,130,0,12:25,14:35,Air France,Paris Charles de Gaulle,Madrid,130,0,07:00,09:10,Air France
15,271.73,Madrid,Paris Charles de Gaulle,130,0,10:00,12:10,Air France,Paris Charles de Gaulle,Madrid,130,0,07:00,09:10,Air France
16,334.73,Madrid,Paris Charles de Gaulle,140,0,06:00,08:20,Air France,Paris Charles de Gaulle,Madrid,125,0,09:25,11:30,Air France
