,precio,origen_ida,destino_ida,min_duracion_ida,escalas_ida,hora_salida_ida,hora_llegada_ida,aerolinea_ida,origen_vuelta,destino_vuelta,min_duracion_vuelta,escalas_vuelta,hora_salida_vuelta,hora_llegada_vuelta,aerolinea_vuelta
0,82.73,Madrid,Rome Fiumicino,145,0,21:45,00:10,Ryanair,Madrid,Rome Fiumicino,145,0,21:45,00:10,Ryanair
1,119.72,Madrid,Rome Fiumicino,145,0,18:55,21:20,Ryanair,Madrid,Rome Fiumicino,145,0,18:55,21:20,Ryanair
2,127.18,Madrid,Rome Fiumicino,145,0,21:45,00:10,Ryanair,Madrid,Rome Fiumicino,145,0,21:45,00:10,Ryanair
3,184.78,Madrid,Rome Fiumicino,145,0,21:45,00:10,Ryanair,Madrid,Rome Fiumicino,145,0,21:45,00:10,Ryanair
4,164.17,Madrid,Rome Fiumicino,145,0,18:55,21:20,Ryanair,Madrid,Rome Fiumicino,145,0,18:55,21:20,Ryanair
5,104.97,Madrid,Rome Fiumicino,150,0,22:25,00:55,Wizz Air Malta,Madrid,Rome Fiumicino,150,0,22:25,00:55,Wizz Air Malta
6,87.98,Madrid,Rome Fiumicino,145,0,21:45,00:10,Ryanair,Madrid,Rome Fiumicino,145,0,21:45,00:10,Ryanair
7,214.58,Madrid,Rome Fiumicino,145,0,12:50,15:15,Ryanair,Madrid,Rome Fiumicino,145,0,12:50,15:15,Ryanair
8,170.13,Madrid,Rome Fiumicino,145,0,12:50,15:15,Ryanair,Madrid,Rome Fiumicino,145,0,12:50,15:15,Ryanair
9,100.73,Madrid,Rome Fiumicino,150,0,22:25,00:55,Wizz Air Malta,Madrid,Rome Fiumicino,150,0,22:25,00:55,Wizz Air Malta
10,213.47,Madrid,Rome Fiumicino,150,0,09:40,12:10,Wizz Air Malta,Madrid,Rome Fiumicino,150,0,09:40,12:10,Wizz Air Malta
11,101.97,Madrid,Rome Fiumicino,145,0,21:45,00:10,Ryanair,Madrid,Rome Fiumicino,145,0,21:45,00:10,Ryanair
12,202.78,Madrid,Rome Fiumicino,150,0,22:25,00:55,Wizz Air Malta,Madrid,Rome Fiumicino,150,0,22:25,00:55,Wizz Air Malta
13,124.97,Madrid,Rome Fiumicino,145,0,18:55,21:20,Ryanair,Madrid,Rome Fiumicino,145,0,18:55,21:20,Ryanair
14,145.18,Madrid,Rome Fiumicino,150,0,22:25,00:55,Wizz Air Malta,Madrid,Rome Fiumicino,150,0,22:25,00:55,Wizz Air Malta
15,175.38,Madrid,Rome Fiumicino,145,0,12:50,15:15,Ryanair,Madrid,Rome Fiumicino,145,0,12:50,15:15,Ryanair
16,117.87,Madrid,Rome Fiumicino,310,1,18:15,23:25,Vueling Airlines,Madrid,Rome Fiumicino,310,1,18:15,23:25,Vueling Airlines
17,170.37,Madrid,Rome Fiumicino,150,0,22:25,00:55,Wizz Air Malta,Madrid,Rome Fiumicino,150,0,22:25,00:55,Wizz Air Malta
18,129.78,Madrid,Rome Fiumicino,145,0,21:45,00:10,Ryanair,Madrid,Rome Fiumicino,145,0,21:45,00:10,Ryanair
19,210.73,Madrid,Rome Fiumicino,150,0,09:40,12:10,Wizz Air Malta,Madrid,Rome Fiumicino,150,0,09:40,12:10,Wizz Air Malta
20,188.24,Madrid,Rome Fiumicino,145,0,21:45,00:10,Ryanair,Madrid,Rome Fiumicino,145,0,21:45,00:10,Ryanair
21,220.28,Madrid,Rome Fiumicino,145,0,18:55,21:20,Ryanair,Madrid,Rome Fiumicino,145,0,18:55,21:20,Ryanair
22,132.3,Madrid,Rome Fiumicino,295,1,18:15,23:10,Vueling Airlines,Madrid,Rome Fiumicino,295,1,18:15,23:10,Vueling Airlines
23,215.86,Madrid,Rome Fiumicino,150,0,18:00,20:30,ITA Airways,Madrid,Rome Fiumicino,150,0,18:00,20:30,ITA Airways
24,209.9,Madrid,Rome Fiumicino,150,0,18:00,20:30,ITA Airways,Madrid,Rome Fiumicino,150,0,18:00,20:30,ITA Airways
25,217.34,Madrid,Rome Fiumicino,150,0,22:25,00:55,Wizz Air Malta,Madrid,Rome Fiumicino,150,0,22:25,00:55,Wizz Air Malta
26,221.77,Madrid,Rome Fiumicino,145,0,18:55,21:20,Ryanair,Madrid,Rome Fiumicino,145,0,18:55,21:20,Ryanair
27,119.97,Madrid,Rome Fiumicino,150,0,22:25,00:55,Wizz Air Malta,Madrid,Rome Fiumicino,150,0,22:25,00:55,Wizz Air Malta
28,136.45,Madrid,Rome Fiumicino,295,1,18:15,23:10,Vueling Airlines,Madrid,Rome Fiumicino,295,1,18:15,23:10,Vueling Airlines
29,235.78,Madrid,Rome Fiumicino,150,0,18:00,20:30,ITA Airways,Madrid,Rome Fiumicino,150,0,18:00,20:30,ITA Airways
30,239.87,Madrid,Rome Fiumicino,145,0,15:00,17:25,Air Europa,Madrid,Rome Fiumicino,145,0,15:00,17:25,Air Europa
